Source IP,Destination IP,Protocol,Query,Reply
113.193.12.14,192.168.0.4,DNS,0x3888,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xb1c4,52.222.136.254,52.222.136.59,52.222.136.5,52.222.136.238,52.222.136.23,52.222.136.49,52.222.136.30,52.222.136.233
113.193.12.14,192.168.0.4,DNS,0xf98d,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0x544f,17.248.154.237,17.248.154.233,17.248.154.205,17.248.154.232,17.248.154.106,17.248.154.73,17.248.154.201,17.248.154.75
113.193.12.14,192.168.0.4,DNS,0xb59f,172.217.26.197
113.193.12.14,192.168.0.4,DNS,0xb1e7,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xfd72,52.222.136.49,52.222.136.5,52.222.136.59,52.222.136.238,52.222.136.233,52.222.136.254,52.222.136.30,52.222.136.23
113.193.12.14,192.168.0.4,DNS,0xe753,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0x4afb,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x0826,52.222.136.254,52.222.136.238,52.222.136.5,52.222.136.49,52.222.136.59,52.222.136.233,52.222.136.23,52.222.136.30
113.193.12.14,192.168.0.4,DNS,0x849e,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xb4b1,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0x39d9,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0x6b66,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xdf2e,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x74c7,52.222.136.5,52.222.136.49,52.222.136.23,52.222.136.238,52.222.136.30,52.222.136.233,52.222.136.59,52.222.136.254
113.193.12.14,192.168.0.4,DNS,0xc7e9,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0x4f53,52.94.218.7
113.193.12.14,192.168.0.4,DNS,0x4d1c,52.222.136.238,52.222.136.254,52.222.136.23,52.222.136.233,52.222.136.49,52.222.136.30,52.222.136.59,52.222.136.5
113.193.12.14,192.168.0.4,DNS,0x507d,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x8185,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0x035a,52.222.136.254,52.222.136.30,52.222.136.5,52.222.136.59,52.222.136.238,52.222.136.233,52.222.136.49,52.222.136.23
113.193.12.14,192.168.0.4,DNS,0xe9fe,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x4291,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0x9fbf,52.222.136.238,52.222.136.254,52.222.136.49,52.222.136.5,52.222.136.23,52.222.136.30,52.222.136.59,52.222.136.233
113.193.12.14,192.168.0.4,DNS,0x2a02,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xa4b6,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0x7eae,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0x66b5,52.222.136.23,52.222.136.5,52.222.136.238,52.222.136.30,52.222.136.254,52.222.136.59,52.222.136.233,52.222.136.49
113.193.12.14,192.168.0.4,DNS,0x3430,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xdba0,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x81db,216.58.197.34
113.193.12.14,192.168.0.4,DNS,0x12db,52.222.136.23,52.222.136.5,52.222.136.233,52.222.136.30,52.222.136.49,52.222.136.254,52.222.136.238,52.222.136.59
113.193.12.14,192.168.0.4,DNS,0xe188,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0xb9b9,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x6772,52.222.136.233,52.222.136.59,52.222.136.30,52.222.136.49,52.222.136.23,52.222.136.5,52.222.136.238,52.222.136.254
113.193.12.14,192.168.0.4,DNS,0x6ac0,52.94.216.48
113.193.12.14,192.168.0.4,DNS,0x20cc,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xd6f9,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0xc887,172.217.26.197
113.193.12.14,192.168.0.4,DNS,0x192a,52.94.220.16
113.193.12.14,192.168.0.4,DNS,0x4f1c,52.222.136.233,52.222.136.254,52.222.136.238,52.222.136.23,52.222.136.49,52.222.136.5,52.222.136.30,52.222.136.59
113.193.12.14,192.168.0.4,DNS,0x1bc3,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x2947,17.154.66.68,17.154.66.69,17.154.66.67
113.193.12.14,192.168.0.4,DNS,0xf282,157.240.7.20
113.193.12.14,192.168.0.4,DNS,0x0909,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x454a,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x335e,172.93.99.210
113.193.12.14,192.168.0.4,DNS,0xf627,157.240.7.36
113.193.12.14,192.168.0.4,DNS,0xeafc,172.217.26.202
113.193.12.14,192.168.0.4,DNS,0x3285,172.217.26.195
113.193.12.14,192.168.0.4,DNS,0xfd7e,192.0.77.48
113.193.12.14,192.168.0.4,DNS,0x94c0,172.217.26.170,172.217.26.202,216.58.220.42,216.58.196.106,216.58.197.42,216.58.197.74
113.193.12.14,192.168.0.4,DNS,0xc674,52.222.135.159,52.222.135.225,52.222.135.51,52.222.135.22,52.222.135.171,52.222.135.216,52.222.135.37,52.222.135.92
113.193.12.14,192.168.0.4,DNS,0x7e57,152.163.66.139
113.193.12.14,192.168.0.4,DNS,0x810b,216.58.197.34
113.193.12.14,192.168.0.4,DNS,0x1fc1,192.0.73.2
113.193.12.14,192.168.0.4,DNS,0xfae1,216.58.197.34
113.193.12.14,192.168.0.4,DNS,0x6f0a,124.153.111.7
113.193.12.14,192.168.0.4,DNS,0x2ea1,199.96.57.6
113.193.12.14,192.168.0.4,DNS,0xe451,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x5ed8,52.71.144.39,34.199.88.135,34.199.189.195,34.199.143.251,107.23.75.17,54.209.143.9,52.72.200.207,34.194.149.5
113.193.12.14,192.168.0.4,DNS,0x687b,104.244.42.1,104.244.42.193
113.193.12.14,192.168.0.4,DNS,0x6690,157.240.7.35
113.193.12.14,192.168.0.4,DNS,0x80e3,172.217.26.194
113.193.12.14,192.168.0.4,DNS,0x16ef,124.153.111.7
113.193.12.14,192.168.0.4,DNS,0x0777,216.58.197.34
113.193.12.14,192.168.0.4,DNS,0x003d,23.211.205.6
113.193.12.14,192.168.0.4,DNS,0x0c9b,4.16.72.110
113.193.12.14,192.168.0.4,DNS,0xa8f2,52.0.130.201,34.206.185.8,34.196.216.8,34.202.50.21,34.204.29.83,52.201.109.210,34.206.232.236
113.193.12.14,192.168.0.4,DNS,0x2611,52.222.135.175,52.222.135.150,52.222.135.208,52.222.135.193
113.193.12.14,192.168.0.4,DNS,0xa563,23.211.227.84
113.193.12.14,192.168.0.4,DNS,0xdf8c,172.217.26.193
113.193.12.14,192.168.0.4,DNS,0x13c2,54.231.82.153
113.193.12.14,192.168.0.4,DNS,0x1981,172.217.26.196
113.193.12.14,192.168.0.4,DNS,0x168e,172.217.26.206
113.193.12.14,192.168.0.4,DNS,0x06e8,118.215.158.31
113.193.12.14,192.168.0.4,DNS,0xb6cd,157.240.7.21
113.193.12.14,192.168.0.4,DNS,0x77d7,23.211.197.215
113.193.12.14,192.168.0.4,DNS,0xf982,152.163.66.131
113.193.12.14,192.168.0.4,DNS,0x5506,103.243.221.51,103.243.221.109,103.243.221.75,103.243.220.231,103.243.221.87,103.243.221.112,103.243.221.17
113.193.12.14,192.168.0.4,DNS,0x4c71,74.125.68.155,74.125.68.154,74.125.68.156,74.125.68.157
113.193.12.14,192.168.0.4,DNS,0xddd9,192.225.158.30
113.193.12.14,192.168.0.4,DNS,0xf220,184.25.109.32,184.25.109.19
113.193.12.14,192.168.0.4,DNS,0x4285,52.0.19.92,52.54.251.243,52.55.66.69,52.206.107.130,52.6.161.55,52.71.69.88,52.54.84.153,52.7.12.40
113.193.12.14,192.168.0.4,DNS,0x8f30,35.189.139.217,104.198.91.84,35.189.132.44,35.189.135.205,35.187.209.5
113.193.12.14,192.168.0.4,DNS,0x2e4d,74.117.199.102
113.193.12.14,192.168.0.4,DNS,0xe25e,151.101.36.166
113.193.12.14,192.168.0.4,DNS,0x95d2,184.25.109.9,184.25.109.32
113.193.12.14,192.168.0.4,DNS,0x92b4,50.116.226.21
113.193.12.14,192.168.0.4,DNS,0x50b7,13.113.174.66,13.112.232.192,54.249.82.39
113.193.12.14,192.168.0.4,DNS,0x807e,216.58.211.99,172.217.20.67,216.58.212.195,216.58.212.227,172.217.17.35,172.217.17.67,172.217.19.195,172.217.20.99,172.217.18.131,216.58.201.163,216.58.209.99,216.58.209.131,216.58.212.131,216.58.212.163,172.217.17.99,172.217.17.131
113.193.12.14,192.168.0.4,DNS,0x98a6,157.240.190.81
113.193.12.14,192.168.0.4,DNS,0xc669,35.154.18.148,35.154.27.243
113.193.12.14,192.168.0.4,DNS,0x0f58,157.240.7.26
113.193.12.14,192.168.0.4,DNS,0x60ae,82.199.68.73
113.193.12.14,192.168.0.4,DNS,0x4a53,103.15.158.193
113.193.12.14,192.168.0.4,DNS,0xcc7f,152.163.56.2
113.193.12.14,192.168.0.4,DNS,0x04ac,54.249.99.172,52.69.127.11,52.197.42.176,52.69.143.104,52.196.45.147
113.193.12.14,192.168.0.4,DNS,0x8ce6,52.193.188.15,52.193.254.13,52.193.127.112
113.193.12.14,192.168.0.4,DNS,0xb0c3,216.58.197.42,216.58.197.74,172.217.26.170,172.217.26.202,216.58.220.42,216.58.196.106
113.193.12.14,192.168.0.4,DNS,0x2d0c,52.193.109.196,54.178.182.145
113.193.12.14,192.168.0.4,DNS,0xb359,129.146.13.101,129.146.13.99,129.146.12.101,129.146.14.101,129.146.14.96,129.146.13.100,129.146.14.98,129.146.14.99,129.146.12.96,129.146.14.100,129.146.13.96,129.146.12.97,129.146.12.98,129.146.12.99,129.146.14.97,129.146.13.97,129.146.12.100,129.146.13.98
113.193.12.14,192.168.0.4,DNS,0x6d0b,54.178.182.145,52.193.109.196
113.193.12.14,192.168.0.4,DNS,0x06d8,103.15.158.191
113.193.12.14,192.168.0.4,DNS,0x9429,103.15.158.191
113.193.12.14,192.168.0.4,DNS,0xa586,106.10.231.44,106.10.198.33
113.193.12.14,192.168.0.4,DNS,0xdb9e,103.67.200.187,103.67.200.188
113.193.12.14,192.168.0.4,DNS,0xd607,50.116.226.23
113.193.12.14,192.168.0.4,DNS,0x3fad,52.69.102.80
113.193.12.14,192.168.0.4,DNS,0x6dc7,103.229.206.185,103.229.206.39
113.193.12.14,192.168.0.4,DNS,0x41b7,50.112.117.189,50.112.120.140,50.112.242.33,54.245.100.131,54.245.247.210,54.245.241.63,54.245.95.170,50.112.108.63
113.193.12.14,192.168.0.4,DNS,0x438b,61.213.187.246,61.213.187.245,61.213.187.244,61.213.187.243,61.213.187.241,61.213.187.242
113.193.12.14,192.168.0.4,DNS,0xc602,52.69.33.104,52.69.201.192,52.68.186.180,52.197.80.69,52.192.219.100
113.193.12.14,192.168.0.4,DNS,0x048b,50.116.226.21
113.193.12.14,192.168.0.4,DNS,0x3244,52.76.6.48,54.254.167.163,54.255.228.44,52.221.155.203
113.193.12.14,192.168.0.4,DNS,0xb670,54.169.2.232,54.169.19.132,52.77.179.252,54.251.148.6
113.193.12.14,192.168.0.4,DNS,0xbd24,198.57.30.31
113.193.12.14,192.168.0.4,DNS,0x70b2,52.193.200.174,54.249.38.117,54.199.193.123,54.64.118.111
113.193.12.14,192.168.0.4,DNS,0x47c6,103.231.98.45
113.193.12.14,192.168.0.4,DNS,0x6846,54.169.19.132,52.77.179.252,54.251.148.6,54.169.2.232
113.193.12.14,192.168.0.4,DNS,0xe4a8,207.171.14.243
113.193.12.14,192.168.0.4,DNS,0xe098,157.240.7.36
113.193.12.14,192.168.0.4,DNS,0x171d,104.244.42.131,104.244.42.3,104.244.42.67,104.244.42.195
113.193.12.14,192.168.0.4,DNS,0x1a16,54.148.139.215,52.38.131.10,54.68.36.249,52.35.54.251,54.69.173.138,54.69.176.113,52.38.154.51,52.41.108.104
113.193.12.14,192.168.0.4,DNS,0xb84c,103.40.110.247
113.193.12.14,192.168.0.4,DNS,0x8424,34.196.35.120,34.196.62.106,34.198.116.1,52.86.151.62,34.194.132.189,34.194.193.178,34.194.92.111,34.198.109.29
113.193.12.14,192.168.0.4,DNS,0xd321,203.190.124.24,203.190.124.25,203.190.124.21,203.190.124.18,203.190.124.22,203.190.124.16,203.190.124.29,203.190.124.12
113.193.12.14,192.168.0.4,DNS,0xac3d,54.164.8.121,54.164.211.231,52.73.213.215,54.173.220.111,54.209.13.204,52.71.132.109,54.174.83.46,52.71.39.63
113.193.12.14,192.168.0.4,DNS,0x9d62,103.231.98.48
