Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A,avg.pkt length,ipkt/opkt,ibytes/obytes
192.168.1.106,55278,204.79.197.200,443,1,56,1,1,1,56,0.41008,0,0,0,56.0,56.0,0.41008
192.168.1.106,49731,74.125.68.188,5228,16,954,9,492,7,462,11.07671,241.98023,16.26579,15.27398,59.625,0.9390243902439024,1.582387142857143
192.168.1.106,57239,172.217.26.195,443,30,4222,16,2817,14,1405,37.94137,211.64594,106.47972,53.10756,140.73333333333332,0.498757543485978,2.710097857142857
192.168.1.106,57240,54.243.128.120,80,23,10685,12,1324,11,9361,38.28914,67.54513,156.81368,1108.71063,464.5652173913044,7.0702416918429005,3.4808309090909093
192.168.1.106,57241,54.243.128.120,80,6,342,4,228,2,114,38.48395,10.68105,170.7697,85.38485,57.0,0.5,19.241975
192.168.1.106,57264,172.217.26.197,443,39,7117,21,2150,18,4967,39.16262,210.42459,81.7395,188.83724,182.48717948717947,2.310232558139535,2.175701111111111
192.168.1.106,57265,172.217.160.133,443,835,558205,336,42280,499,515925,39.17415,210.41295,1607.50561,19615.71272,668.5089820359282,12.202578051087984,0.07850531062124248
192.168.1.106,57266,172.217.160.133,443,14,4019,9,802,5,3217,39.17437,10.444,614.32401,2464.18997,287.07142857142856,4.011221945137157,7.834874000000001
192.168.1.106,57314,216.58.199.173,443,33,6494,18,4184,15,2310,44.09042,205.51862,162.86602,89.91886,196.78787878787878,0.5521032504780115,2.9393613333333333
192.168.1.106,57372,172.217.31.202,443,16,5051,9,816,7,4235,49.11697,13.09547,498.4931,2587.15478,315.6875,5.189950980392157,7.016710000000001
192.168.1.106,57385,172.217.31.202,443,16,5261,9,985,7,4276,49.61893,12.64598,623.12277,2705.04871,328.8125,4.341116751269036,7.088418571428571
192.168.1.106,57420,142.104.197.120,443,26,13936,11,2136,15,11800,52.98037,9.53249,1792.60594,9902.9729,536.0,5.52434456928839,3.5320246666666666
192.168.1.106,57421,142.104.197.120,443,34,10343,20,3891,14,6452,52.98075,70.08423,444.15129,736.48526,304.20588235294116,1.6581855564122334,3.7843392857142857
192.168.1.106,57422,142.104.197.120,443,62,26955,26,2833,36,24122,52.98103,2.70986,8363.52861,71212.50869,434.758064516129,8.514648782209672,1.4716952777777776
192.168.1.106,57423,142.104.197.120,443,48,24772,18,5871,30,18901,52.98129,9.98447,4704.10453,15144.31609,516.0833333333334,3.2193834099812637,1.766043
192.168.1.106,57424,142.104.197.120,443,57,28820,30,13133,27,15687,52.98155,70.08343,1499.1275,1790.66573,505.6140350877193,1.194471940912206,1.9622796296296297
192.168.1.106,57425,142.104.197.120,443,37,17498,17,3606,20,13892,52.98182,9.77109,2952.38209,11373.95786,472.9189189189189,3.8524681087077095,2.649091
192.168.1.106,57461,142.104.197.120,443,50,18330,24,4921,26,13409,55.5189,64.30126,612.24302,1668.27203,366.6,2.7248526722210933,2.1353423076923077
192.168.1.106,57531,142.104.197.120,443,33,9577,18,2373,15,7204,62.33518,62.64984,303.01753,919.90656,290.2121212121212,3.035819637589549,4.155678666666667
192.168.1.106,57532,142.104.197.120,443,13,1152,7,672,6,480,62.33901,39.69727,135.42494,96.7321,88.61538461538461,0.7142857142857143,10.389835
192.168.1.106,57533,142.104.197.120,443,43,17356,20,5721,23,11635,62.45634,52.52116,871.42019,1772.23805,403.6279069767442,2.0337353609508826,2.715493043478261
192.168.1.106,57741,142.104.82.67,80,1663,1644526,598,37974,1065,1606552,79.76418,53.23711,5706.39519,241418.35493,988.8911605532171,42.306630852688684,0.07489594366197183
192.168.1.106,57742,142.104.82.67,80,243,233778,92,6646,151,227132,79.77513,12.24051,4343.60845,148446.05382,962.0493827160494,34.175744808907616,0.5283121192052981
192.168.1.106,57995,142.104.197.120,443,24,3177,15,2204,9,973,101.77244,59.18087,297.93413,131.529,132.375,0.441470054446461,11.308048888888889
192.168.1.106,57997,142.104.197.120,443,4,240,2,120,2,120,102.02434,10.54252,91.05981,91.05981,60.0,1.0,51.01217
192.168.1.106,58044,142.104.82.67,80,278,262190,108,7750,170,254440,106.40507,5.45126,11373.5194,373403.64859,943.1294964028777,32.83096774193548,0.6259121764705882
192.168.1.106,58114,204.79.197.200,443,336,199279,139,84229,197,115050,113.27321,129.76518,5192.70254,7092.81158,593.0922619047619,1.365919101497109,0.5749909137055838
192.168.1.106,58161,204.79.197.254,443,36,11817,17,3469,19,8348,117.17211,120.85441,229.63167,552.59878,328.25,2.4064571922744307,6.166953157894737
192.168.1.106,58162,13.107.42.254,443,36,11140,16,3356,20,7784,117.43668,120.42023,222.95257,517.12241,309.44444444444446,2.31942789034565,5.871834
192.168.1.106,58174,13.107.6.254,443,35,11074,15,3302,20,7772,117.7315,124.92144,211.46091,497.72082,316.4,2.353725015142338,5.886575
192.168.1.106,58186,204.79.197.222,443,32,11118,16,4056,16,7062,118.01119,124.45791,260.71465,453.9366,347.4375,1.7411242603550297,7.375699375
192.168.1.106,58268,142.104.82.67,80,44,51294,9,1244,35,50050,125.69894,14.73178,675.54629,27179.33426,1165.7727272727273,40.233118971061096,3.5913982857142854
192.168.1.106,58281,142.104.82.67,80,13175,13335298,4547,277447,8628,13057851,126.39005,561.02142,3956.3124,186201.10441,1012.1668311195446,47.064307777701686,0.014648823597589244
192.168.1.106,58282,142.104.82.67,80,16,14725,5,1067,11,13658,126.97208,0.92324,9245.73998,118348.93787,920.3125,12.800374882849109,11.542916363636364
192.168.1.106,58283,142.104.82.67,80,20,20826,5,1112,15,19714,127.60567,0.87908,10119.72812,179406.76279,1041.3,17.72841726618705,8.507044666666667
192.168.1.106,58445,172.217.160.142,443,19,6075,9,786,10,5289,141.35054,83.62964,75.18865,505.94502,319.7368421052632,6.729007633587786,14.135054
192.168.1.106,58837,169.55.40.5,443,23,6790,12,2475,11,4315,176.40072,2.32493,8516.37079,14847.73331,295.2173913043478,1.7434343434343433,16.036429090909092
192.168.1.106,58999,23.211.207.5,443,20,7030,10,1201,10,5829,189.63225,61.0686,157.33126,763.60025,351.5,4.853455453788509,18.963225
192.168.1.106,59000,104.122.96.98,443,23,8760,10,1146,13,7614,189.66682,61.02588,150.23133,998.13384,380.8695652173913,6.643979057591623,14.589755384615385
192.168.1.106,59001,117.18.232.200,443,30,11994,14,1540,16,10454,190.44218,81.73722,150.72693,1023.18137,399.8,6.788311688311689,11.90263625
192.168.1.106,49675,111.221.29.134,443,14,1900,9,977,5,923,190.91218,1989.50247,3.92862,3.71148,135.71428571428572,0.9447287615148413,38.182436
192.168.1.106,59024,23.100.80.16,443,31,10882,16,2578,15,8304,191.34163,80.84525,255.10465,821.71802,351.03225806451616,3.2211016291698993,12.756108666666668
