"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A ? B","Bytes A ? B","Packets B ? A","Bytes B ? A","Rel Start","Duration","Bits/s A ? B","Bits/s B ? A"
"192.168.1.106",55278,"204.79.197.200",443,1,56,1,1,1,56,0.41008,0,0,0
"192.168.1.106",49731,"74.125.68.188",5228,16,954,9,492,7,462,11.07671,241.98023,16.26579,15.27398
"192.168.1.106",57239,"172.217.26.195",443,30,4222,16,2817,14,1405,37.94137,211.64594,106.47972,53.10756
"192.168.1.106",57240,"54.243.128.120",80,23,10685,12,1324,11,9361,38.28914,67.54513,156.81368,1108.71063
"192.168.1.106",57241,"54.243.128.120",80,6,342,4,228,2,114,38.48395,10.68105,170.7697,85.38485
"192.168.1.106",57264,"172.217.26.197",443,39,7117,21,2150,18,4967,39.16262,210.42459,81.7395,188.83724
"192.168.1.106",57265,"172.217.160.133",443,835,558205,336,42280,499,515925,39.17415,210.41295,1607.50561,19615.71272
"192.168.1.106",57266,"172.217.160.133",443,14,4019,9,802,5,3217,39.17437,10.444,614.32401,2464.18997
"192.168.1.106",57314,"216.58.199.173",443,33,6494,18,4184,15,2310,44.09042,205.51862,162.86602,89.91886
"192.168.1.106",57372,"172.217.31.202",443,16,5051,9,816,7,4235,49.11697,13.09547,498.4931,2587.15478
"192.168.1.106",57385,"172.217.31.202",443,16,5261,9,985,7,4276,49.61893,12.64598,623.12277,2705.04871
"192.168.1.106",57420,"142.104.197.120",443,26,13936,11,2136,15,11800,52.98037,9.53249,1792.60594,9902.9729
"192.168.1.106",57421,"142.104.197.120",443,34,10343,20,3891,14,6452,52.98075,70.08423,444.15129,736.48526
"192.168.1.106",57422,"142.104.197.120",443,62,26955,26,2833,36,24122,52.98103,2.70986,8363.52861,71212.50869
"192.168.1.106",57423,"142.104.197.120",443,48,24772,18,5871,30,18901,52.98129,9.98447,4704.10453,15144.31609
"192.168.1.106",57424,"142.104.197.120",443,57,28820,30,13133,27,15687,52.98155,70.08343,1499.1275,1790.66573
"192.168.1.106",57425,"142.104.197.120",443,37,17498,17,3606,20,13892,52.98182,9.77109,2952.38209,11373.95786
"192.168.1.106",57461,"142.104.197.120",443,50,18330,24,4921,26,13409,55.5189,64.30126,612.24302,1668.27203
"192.168.1.106",57531,"142.104.197.120",443,33,9577,18,2373,15,7204,62.33518,62.64984,303.01753,919.90656
"192.168.1.106",57532,"142.104.197.120",443,13,1152,7,672,6,480,62.33901,39.69727,135.42494,96.7321
"192.168.1.106",57533,"142.104.197.120",443,43,17356,20,5721,23,11635,62.45634,52.52116,871.42019,1772.23805
"192.168.1.106",57741,"142.104.82.67",80,1663,1644526,598,37974,1065,1606552,79.76418,53.23711,5706.39519,241418.35493
"192.168.1.106",57742,"142.104.82.67",80,243,233778,92,6646,151,227132,79.77513,12.24051,4343.60845,148446.05382
"192.168.1.106",57995,"142.104.197.120",443,24,3177,15,2204,9,973,101.77244,59.18087,297.93413,131.529
"192.168.1.106",57997,"142.104.197.120",443,4,240,2,120,2,120,102.02434,10.54252,91.05981,91.05981
"192.168.1.106",58044,"142.104.82.67",80,278,262190,108,7750,170,254440,106.40507,5.45126,11373.5194,373403.64859
"192.168.1.106",58114,"204.79.197.200",443,336,199279,139,84229,197,115050,113.27321,129.76518,5192.70254,7092.81158
"192.168.1.106",58161,"204.79.197.254",443,36,11817,17,3469,19,8348,117.17211,120.85441,229.63167,552.59878
"192.168.1.106",58162,"13.107.42.254",443,36,11140,16,3356,20,7784,117.43668,120.42023,222.95257,517.12241
"192.168.1.106",58174,"13.107.6.254",443,35,11074,15,3302,20,7772,117.7315,124.92144,211.46091,497.72082
"192.168.1.106",58186,"204.79.197.222",443,32,11118,16,4056,16,7062,118.01119,124.45791,260.71465,453.9366
"192.168.1.106",58268,"142.104.82.67",80,44,51294,9,1244,35,50050,125.69894,14.73178,675.54629,27179.33426
"192.168.1.106",58281,"142.104.82.67",80,13175,13335298,4547,277447,8628,13057851,126.39005,561.02142,3956.3124,186201.10441
"192.168.1.106",58282,"142.104.82.67",80,16,14725,5,1067,11,13658,126.97208,0.92324,9245.73998,118348.93787
"192.168.1.106",58283,"142.104.82.67",80,20,20826,5,1112,15,19714,127.60567,0.87908,10119.72812,179406.76279
"192.168.1.106",58445,"172.217.160.142",443,19,6075,9,786,10,5289,141.35054,83.62964,75.18865,505.94502
"192.168.1.106",58837,"169.55.40.5",443,23,6790,12,2475,11,4315,176.40072,2.32493,8516.37079,14847.73331
"192.168.1.106",58999,"23.211.207.5",443,20,7030,10,1201,10,5829,189.63225,61.0686,157.33126,763.60025
"192.168.1.106",59000,"104.122.96.98",443,23,8760,10,1146,13,7614,189.66682,61.02588,150.23133,998.13384
"192.168.1.106",59001,"117.18.232.200",443,30,11994,14,1540,16,10454,190.44218,81.73722,150.72693,1023.18137
"192.168.1.106",49675,"111.221.29.134",443,14,1900,9,977,5,923,190.91218,1989.50247,3.92862,3.71148
"192.168.1.106",59024,"23.100.80.16",443,31,10882,16,2578,15,8304,191.34163,80.84525,255.10465,821.71802
"192.168.1.106",59394,"172.217.160.142",443,20,6152,11,934,9,5218,224.94023,24.58919,303.87333,1697.65636
"192.168.1.106",59395,"172.217.160.142",443,17,6168,8,905,9,5263,225.41129,24.17576,299.47351,1741.5791
"192.168.1.106",59672,"74.125.200.189",443,28,5742,13,1193,15,4549,251.57424,285.34143,33.44765,127.53844
"192.168.1.106",59684,"74.125.200.188",5228,99,7652,52,3903,47,3749,252.08407,1916.58784,16.29145,15.64864
"192.168.1.106",59697,"216.58.197.46",443,27,6615,13,1016,14,5599,252.64798,285.23626,28.49568,157.03473
"192.168.1.106",61124,"96.6.68.215",80,10,888,6,458,4,430,379.81136,63.21334,57.96245,54.41889
"192.168.1.106",61148,"96.6.68.215",443,19,6705,9,964,10,5741,382.21362,60.75044,126.94558,756.01097
"192.168.1.106",63058,"104.25.14.8",80,13,2000,7,1206,6,794,551.04691,46.73704,206.43155,135.90933
"192.168.1.106",64121,"216.58.196.110",443,21,6202,11,900,10,5302,644.9305,123.93147,58.09662,342.25366
"192.168.1.106",64601,"142.104.82.67",80,21,22330,5,1102,16,21228,687.46977,0.834,10570.69271,203624.92266
"192.168.1.106",64924,"23.211.224.100",80,14,2715,7,620,7,2095,714.68407,18.1435,273.37622,923.74705
"192.168.1.106",64925,"23.211.224.100",80,14,2655,7,619,7,2036,714.68407,32.39964,152.8412,502.72164
"192.168.1.106",65041,"204.79.197.200",443,277,193664,100,64126,177,129538,725.14778,128.82188,3982.30484,8044.47189
"192.168.1.106",65088,"204.79.197.254",443,35,11073,16,3356,19,7717,729.29413,127.23745,211.00706,485.20307
"192.168.1.106",65089,"13.107.6.254",443,33,11704,17,3482,16,8222,729.49775,125.46277,222.02603,524.2671
"192.168.1.106",65090,"13.107.42.254",443,37,11781,17,3446,20,8335,730.22799,123.55113,223.1303,539.69561
"192.168.1.106",65114,"204.79.197.222",443,27,11103,13,3902,14,7201,731.22158,122.74808,254.30948,469.31896
"192.168.1.106",65138,"142.104.82.67",80,149,141891,55,4209,94,137682,733.09832,6.78034,4966.12338,162448.51474
"192.168.1.106",65208,"142.104.82.67",80,11114,11057721,3965,240351,7149,10817370,739.88017,508.658,3780.1588,170131.91708
"192.168.1.106",65531,"172.217.26.197",443,39,7562,19,4157,20,3405,768.87366,240.64137,138.19735,113.19749
"192.168.1.106",51163,"172.217.160.142",443,33,7174,16,1344,17,5830,946.02202,330.86837,32.49631,140.9624
"192.168.1.106",51255,"172.217.26.174",443,31,6881,15,1148,16,5733,952.99772,285.56492,32.16081,160.60796
"192.168.1.106",51256,"172.217.26.174",443,45,9121,21,2232,24,6889,952.99785,240.27351,74.31531,229.37194
"192.168.1.106",52798,"23.219.132.43",80,10,2463,5,497,5,1966,1089.58852,60.34223,65.89083,260.64664
"192.168.1.106",52799,"23.219.133.186",80,14,5634,7,603,7,5031,1089.59502,60.33552,79.9529,667.06973
"192.168.1.106",53744,"172.217.160.131",443,24,2254,12,1234,12,1020,1174.60775,285.2253,34.61124,28.60896
"192.168.1.106",53883,"104.244.46.39",443,18,8301,9,965,9,7336,1185.65946,60.39252,127.8304,971.77594
"192.168.1.106",54596,"142.104.82.67",80,21,22330,5,1102,16,21228,1248.55145,0.84653,10414.32868,200612.85773
"192.168.1.106",55540,"172.217.160.138",443,28,3156,15,2078,13,1078,1332.12002,286.10498,58.10455,30.14278
"192.168.1.106",56002,"172.217.160.142",443,21,6421,11,1079,10,5342,1372.91236,175.01727,49.32085,244.18161
"192.168.1.106",56003,"216.58.197.46",443,22,6480,11,1074,11,5406,1372.92752,175.00173,49.09666,247.12898
"192.168.1.106",57982,"172.217.26.206",443,20,6353,10,1015,10,5338,1548.1889,127.99772,63.43863,333.63095
"192.168.1.106",57983,"172.217.26.206",443,7,408,4,228,3,180,1548.18904,11.56092,157.7729,124.55755
"192.168.1.106",59432,"172.217.26.174",443,16,6116,8,909,8,5207,1676.18752,42.08032,172.81239,989.9165
"192.168.1.106",59895,"157.240.16.35",443,31,8272,15,1921,16,6351,1718.36059,65.36097,235.12504,777.34469
"192.168.1.106",59918,"157.240.186.17",443,1491,1164573,652,55381,839,1109192,1718.91697,257.65066,1719.56867,34440.18373
"192.168.1.106",60518,"204.79.197.200",443,296,197393,129,71442,167,125951,1773.45683,135.48338,4218.49532,7437.13367
"192.168.1.106",60542,"23.57.227.239",443,15,8956,9,3454,6,5502,1775.22953,0.25851,106888.65507,170266.75744
"192.168.1.106",60543,"23.57.227.239",443,20,12396,11,3586,9,8810,1775.22962,0.43043,66649.62944,163743.23351
"192.168.1.106",60590,"13.107.42.254",443,33,11574,17,3458,16,8116,1778.56427,127.60823,216.78852,508.8073
"192.168.1.106",60591,"13.107.6.254",443,35,12540,16,3368,19,9172,1778.96983,122.52312,219.90951,598.87471
"192.168.1.106",60603,"204.79.197.254",443,36,11190,17,3434,19,7756,1779.65987,129.28034,212.49944,479.94922
"192.168.1.106",60616,"204.79.197.222",443,23,12317,12,3826,11,8491,1781.15791,129.42516,236.49189,524.84387
"192.168.1.106",60708,"172.217.26.202",443,15,4975,8,739,7,4236,1788.22028,11.97087,493.8654,2830.87123
"192.168.1.106",60840,"157.240.7.35",443,2433,1784263,1096,186995,1337,1597268,1800.22217,357.1402,4188.71918,35779.0695
"192.168.1.106",60848,"157.240.13.35",443,31,7000,16,1826,15,5174,1800.23195,68.34918,213.72604,605.59614
"192.168.1.106",60849,"157.240.13.35",443,15,4991,8,770,7,4221,1800.2321,3.1901,1930.97153,10585.23484
"192.168.1.106",60850,"157.240.16.16",443,23,5745,8,782,15,4963,1800.23222,14.71051,425.27429,2699.02341
"192.168.1.106",60851,"157.240.186.17",443,15,4704,8,788,7,3916,1800.24123,13.74665,458.58436,2278.95474
"192.168.1.106",60852,"157.240.16.20",443,21,5592,10,1025,11,4567,1800.24176,14.37929,570.26468,2540.87685
"192.168.1.106",60853,"157.240.16.20",443,17,5120,10,899,7,4221,1800.24193,13.74645,523.18947,2456.48805
"192.168.1.106",60854,"157.240.16.16",443,21,5483,8,782,13,4701,1800.30832,13.94175,448.72419,2697.50947
"192.168.1.106",60855,"157.240.16.16",443,15,5000,8,782,7,4218,1800.30846,13.67886,457.34789,2466.87134
"192.168.1.106",60856,"157.240.186.18",443,16,4756,9,839,7,3917,1800.33409,13.65486,491.54664,2294.86075
"192.168.1.106",60858,"54.225.227.202",80,18,10434,7,1054,11,9380,1800.83904,65.98571,127.78525,1137.21599
"192.168.1.106",60859,"54.225.227.202",80,7,410,5,294,2,116,1800.99316,13.90391,169.16109,66.74383
"192.168.1.106",60883,"172.217.160.142",443,18,6025,10,860,8,5165,1803.69358,14.03613,490.16346,2943.83054
"192.168.1.106",60884,"157.240.13.35",443,35,7348,17,1731,18,5617,1803.97652,65.70023,210.77551,683.95497
"192.168.1.106",60894,"157.240.13.35",443,7,408,4,228,3,180,1804.04974,10.18103,179.1568,141.43958
"192.168.1.106",60909,"157.240.16.20",443,31,7463,15,1549,16,5914,1805.21816,65.93544,187.94142,717.55038
